Secuencia,Tipo Dispositivo,Grupo,Modelo equipo,Placa,MSISDN,Alias,IMEI,Latitud,Longitud,Hora de última transmisión,Estado de transmisión,Estado de ignición,% Batería,Odómetro (Km)
57,Automotor,CAMINERA,Starlink ER-01,IR807DB,549130697661,10065,231251038226408,-30.174291,-59.430328,"martes, 08 de septiembre de 2026 19:57:22",En línea,Encendido,95,138432
58,Automotor,CAPITAL,Starlink ER-01,KB560UG,549402361370,10066,867162602600379,-32.043897,-63.265198,"lunes, 07 de septiembre de 2026 00:15:58",En línea,Apagado,70,441311
59,Automotor,INTERIOR,Tracker X2,NM185XR,549289721380,10067,324612997058730,-37.143357,-65.129166,"jueves, 13 de agosto de 2026 22:30:23",Apagado o fuera de cobertura,Apagado,20,238919
60,Automotor,INTERIOR,Tracker X2,AK605HP,549955804617,10069,369850787703328,-39.210601,-64.85908,"jueves, 27 de agosto de 2026 22:10:15",Apagado o fuera de cobertura,Apagado,17,229461
61,Automotor,CAPITAL,Starlink ER-01,CF084PF,549486699615,10071,170707036674002,-32.158123,-67.231903,"sábado, 05 de septiembre de 2026 04:00:01",En línea,Encendido,62,182282
62,Automotor,INTERIOR,Tracker X1,MW620MC,549651056636,10072,313725502626382,-34.258513,-59.894568,"jueves, 03 de septiembre de 2026 23:32:27",En línea,Encendido,22,388964
63,Automotor,CAPITAL,Tracker X2,RN775IF,549160274594,10074,861016362095703,-37.075494,-60.547769,"sábado, 05 de septiembre de 2026 14:25:00",En línea,Encendido,82,423848
64,Automotor,CAMINERA,Tracker X2,MI577LO,549216459115,10076,110226794463530,-30.506966,-64.219261,"viernes, 04 de septiembre de 2026 22:47:10",En línea,Apagado,39,477569
65,Automotor,INTERIOR,Starlink ER-01,VZ681BT,549029411231,10077,447381490445013,-39.231459,-59.583448,"lunes, 22 de junio de 2026 16:05:35",Apagado o fuera de cobertura,Apagado,3,28031
66,Automotor,CAPITAL,Tracker X2,BQ544FI,549822298272,10078,695061454077613,-30.681832,-67.52127,"lunes, 07 de septiembre de 2026 04:43:46",En línea,Apagado,81,255409
67,Automotor,CAMINERA,Starlink ER-01,WV482NU,549746514747,10079,788494320117135,-39.01626,-62.387122,"martes, 08 de septiembre de 2026 21:15:54",En línea,Apagado,68,288794
68,Automotor,CAPITAL,Tracker X2,HP079FL,549390942319,10080,605459332515013,-38.249841,-61.593483,"sábado, 05 de septiembre de 2026 10:47:48",En línea,Apagado,73,337879
69,Automotor,INTERIOR,Tracker X2,VQ744IZ,549407350688,10081,105071588356004,-35.47094,-67.830082,"martes, 08 de septiembre de 2026 01:54:15",En línea,Apagado,46,128438
70,Automotor,INTERIOR,Starlink ER-01,EG920OJ,549444350178,10082,916449695237292,-38.48779,-58.838978,"viernes, 04 de septiembre de 2026 12:29:38",En línea,Apagado,85,327286
71,Automotor,INTERIOR,Tracker X1,GG728LY,549027845760,10083,431275655312681,-35.556941,-58.943197,"viernes, 04 de septiembre de 2026 11:36:13",En línea,Encendido,68,250194
72,Automotor,CAPITAL,Tracker X1,KR925QA,549983876137,10084,278078499636877,-38.174256,-63.455608,"sábado, 05 de septiembre de 2026 16:32:06",En línea,Apagado,96,131444
73,Automotor,INTERIOR,Tracker X1,VM394XT,549748470795,10085,639728393460493,-30.613707,-65.339144,"martes, 08 de septiembre de 2026 14:22:49",En línea,Encendido,70,300911
74,Automotor,INTERIOR,Tracker X1,VN092CA,549751892527,10086,092820256335423,-39.67371,-61.484342,"viernes, 28 de agosto de 2026 22:41:16",Apagado o fuera de cobertura,Apagado,33,435943
75,Automotor,PATRULLA RURAL,Starlink ER-01,YM551VI,549243051701,10087,150369547626829,-30.974836,-65.843147,"martes, 08 de septiembre de 2026 02:56:31",En línea,Apagado,22,32541
76,Automotor,CAPITAL,Tracker X1,OE251NX,549137023710,10088,160567529549650,-33.221749,-58.680939,"lunes, 07 de septiembre de 2026 08:12:25",En línea,Encendido,25,395152
77,Automotor,PATRULLA RURAL,Starlink ER-01,UW250EE,549245587287,10090,149000820128526,-35.191348,-64.052408,"miércoles, 22 de julio de 2026 02:47:08",Apagado o fuera de cobertura,Apagado,3,363690
78,Automotor,INTERIOR,Tracker X1,AU359SI,549325307709,3421362,390567554089979,-38.27116,-67.25118,"jueves, 03 de septiembre de 2026 21:14:39",En línea,Apagado,91,331352
79,Automotor,INTERIOR,Tracker X2,NX072UH,549678525672,5487357,549233073871205,-39.333433,-65.612208,"martes, 08 de septiembre de 2026 10:45:40",En línea,Apagado,39,339810
80,Automotor,CAMINERA,Starlink ER-01,OA562CI,549039358535,10093,333430248372001,-32.971026,-64.214951,"jueves, 25 de junio de 2026 23:52:15",Apagado o fuera de cobertura,Apagado,6,301349
81,Automotor,CAPITAL,Starlink ER-01,IZ684VM,549641601740,10094,148524554413639,-36.402672,-61.679412,"sábado, 05 de septiembre de 2026 03:43:58",En línea,Apagado,67,96193
82,Automotor,INTERIOR,Tracker X1,PC705QY,549504087757,10095,081901575821593,-32.188273,-63.901975,"domingo, 06 de septiembre de 2026 16:20:26",En línea,Apagado,41,105096
83,Automotor,CAPITAL,Starlink ER-01,VT688NH,549839269275,6227357,805845472510896,-30.974681,-67.096091,"martes, 08 de septiembre de 2026 11:55:26",En línea,Apagado,22,468385
84,Automotor,CAPITAL,Starlink ER-01,CX888MJ,549763692032,10097,545002359879431,-30.160762,-61.860733,"martes, 08 de septiembre de 2026 15:47:04",En línea,Apagado,76,470667
85,Automotor,CAPITAL,Starlink ER-01,LO644RE,549560155841,10098,820723680742244,-34.049744,-65.107162,"viernes, 04 de septiembre de 2026 23:00:23",En línea,Apagado,76,370614
86,Automotor,PATRULLA RURAL,Starlink ER-01,GI006WV,549694146094,10099,850455411401474,-34.581059,-65.77572,"martes, 30 de junio de 2026 00:13:05",Apagado o fuera de cobertura,Apagado,10,491349
87,Automotor,CAMINERA,Tracker X1,WE569ZA,549873690164,10101,132397096806895,-37.260604,-61.034806,"jueves, 06 de agosto de 2026 23:17:16",Apagado o fuera de cobertura,Apagado,33,81950
88,Automotor,PATRULLA RURAL,Tracker X2,IW001MO,549894102193,10104,560716348100201,-35.325316,-60.098229,"lunes, 07 de septiembre de 2026 14:44:13",En línea,Encendido,55,258989
89,Automotor,INTERIOR,Tracker X1,AY521KQ,549563527106,10105,137884069634565,-31.757864,-64.558032,"lunes, 24 de agosto de 2026 15:37:57",Apagado o fuera de cobertura,Apagado,29,348791
90,Automotor,INTERIOR,Starlink ER-01,FD025EU,549204351807,10106,438884961512027,-34.363281,-61.307686,"jueves, 03 de septiembre de 2026 19:25:00",En línea,Encendido,69,441924
91,Automotor,INTERIOR,Starlink ER-01,GN065MU,549569798514,10107,277713744174873,-34.011908,-60.254022,"sábado, 05 de septiembre de 2026 12:50:01",En línea,Apagado,91,311451
92,Automotor,INTERIOR,Tracker X1,LD590BU,549020024901,10108,123317701046358,-38.082677,-59.992972,"viernes, 04 de septiembre de 2026 19:46:57",En línea,Apagado,88,209425
93,Automotor,PATRULLA RURAL,Tracker X2,NI804OS,549038664768,10109,532473920423460,-31.875779,-67.368569,"domingo, 06 de septiembre de 2026 21:45:28",En línea,Apagado,85,100304
94,Automotor,CAPITAL,Tracker X1,EH527CE,549152932364,10110,627866238228717,-31.476577,-60.655865,"miércoles, 09 de septiembre de 2026 05:34:13",En línea,Apagado,88,152162
95,Automotor,INTERIOR,Tracker X2,HS393US,549999729633,10112,398251552286791,-34.03625,-64.095884,"lunes, 07 de septiembre de 2026 10:31:28",En línea,Apagado,40,463264
96,Automotor,INTERIOR,Tracker X1,LI038VY,549524146488,REPUESTO,705004486127065,-38.704253,-63.778085,"domingo, 02 de agosto de 2026 05:54:50",Apagado o fuera de cobertura,Apagado,9,99739
97,Automotor,PATRULLA RURAL,Tracker X2,KM361OR,549643063239,10115,267324441902490,-34.604701,-67.67483,"sábado, 20 de junio de 2026 02:52:51",Apagado o fuera de cobertura,Apagado,1,423897
98,Automotor,CAPITAL,Tracker X2,FQ153IE,549275165320,10116,863321984962233,-37.834225,-63.501802,"sábado, 05 de septiembre de 2026 15:18:40",En línea,Encendido,26,22893
99,Automotor,CAMINERA,Starlink ER-01,TM356YO,549951369619,10117,381959424585263,-34.156751,-60.269805,"miércoles, 24 de junio de 2026 23:47:58",Apagado o fuera de cobertura,Apagado,4,261411
100,Automotor,CAPITAL,Tracker X1,BT509RC,549320705298,10118,764130895424650,-30.563004,-64.508133,"martes, 08 de septiembre de 2026 07:27:17",En línea,Apagado,71,35851
101,Automotor,INTERIOR,Tracker X2,US881ED,549228463676,10119,029936936943960,-30.911937,-61.240688,"lunes, 06 de julio de 2026 23:30:20",Apagado o fuera de cobertura,Apagado,8,486358
102,Automotor,INTERIOR,Starlink ER-01,JP712ZZ,549296290977,0125276,945891232656622,-35.530751,-64.678228,"martes, 08 de septiembre de 2026 16:36:36",En línea,Encendido,39,114321
103,Automotor,CAMINERA,Tracker X1,IP994EO,549421847120,10121,522718471792045,-33.641331,-66.710393,"lunes, 06 de julio de 2026 20:35:43",Apagado o fuera de cobertura,Apagado,5,496475
104,Automotor,CAPITAL,Tracker X2,GK001RL,549035506611,10122,740558003914435,-38.228958,-64.901351,"sábado, 29 de agosto de 2026 03:28:06",Apagado o fuera de cobertura,Apagado,13,225222
105,Automotor,CAMINERA,Tracker X1,UE983CM,549054241575,10123,627040539538446,-37.303681,-59.454028,"domingo, 06 de septiembre de 2026 14:32:40",En línea,Apagado,58,460182
106,Automotor,PATRULLA RURAL,Tracker X1,YL095AU,549306309071,0492237,208347198322494,-37.782301,-60.748683,"domingo, 06 de septiembre de 2026 21:09:34",En línea,Encendido,100,306053
107,Automotor,INTERIOR,Starlink ER-01,QO157LS,549452152306,10125,742574540383184,-36.572936,-64.800379,"viernes, 04 de septiembre de 2026 23:58:44",En línea,Apagado,75,84797
108,Automotor,PATRULLA RURAL,Starlink ER-01,JD791UA,549860290750,10126,510573117127810,-33.947288,-62.706005,"sábado, 05 de septiembre de 2026 20:55:16",En línea,Encendido,97,5538
109,Automotor,INTERIOR,Tracker X1,YT447YO,549794191753,7412392,383275888388056,-37.551985,-64.261589,"martes, 08 de septiembre de 2026 07:50:51",En línea,Encendido,47,126420
110,Automotor,CAPITAL,Tracker X2,ZQ114LF,549813789374,10128,452119766858188,-32.976219,-62.719041,"domingo, 26 de julio de 2026 05:21:31",Apagado o fuera de cobertura,Apagado,3,348774
111,Automotor,PATRULLA RURAL,Tracker X1,NA407KD,549622098324,10130,723377410659406,-33.887297,-63.298931,"domingo, 14 de junio de 2026 09:22:05",Apagado o fuera de cobertura,Apagado,19,339558
112,Automotor,CAMINERA,Starlink ER-01,MA275LZ,549622885186,10131,045753551265064,-35.232174,-64.083486,"martes, 08 de septiembre de 2026 02:19:57",En línea,Encendido,98,452172
113,Automotor,CAMINERA,Starlink ER-01,FL154QS,549032810778,10132,070270573752917,-36.390247,-60.370688,"lunes, 17 de agosto de 2026 05:38:32",Apagado o fuera de cobertura,Apagado,2,470012
114,Automotor,CAPITAL,Tracker X2,UA879TD,549027683682,1405032,045753551265064,-38.911247,-66.711591,"viernes, 04 de septiembre de 2026 06:07:14",En línea,Apagado,26,82240
115,Automotor,INTERIOR,Tracker X1,AR647EE,549293957663,10134,860279260571772,-37.186507,-64.432349,"sábado, 05 de septiembre de 2026 06:29:25",En línea,Encendido,21,175729
116,Automotor,INTERIOR,Tracker X1,BO829WO,549347582820,10135,565257185050997,-36.166623,-67.60737,"lunes, 07 de septiembre de 2026 12:46:58",En línea,Apagado,85,485205
117,Automotor,INTERIOR,Starlink ER-01,QP457SN,549437050074,10136,419671590080943,-30.306771,-67.392362,"sábado, 05 de septiembre de 2026 07:24:35",En línea,Apagado,20,333270
118,Automotor,INTERIOR,Tracker X1,IL325NZ,549129539462,10137,004112022683318,-36.492469,-59.989273,"lunes, 07 de septiembre de 2026 00:31:12",En línea,Apagado,65,423768
119,Automotor,CAPITAL,Tracker X2,FQ742ME,549563657347,10138,021719452800549,-36.274491,-61.687466,"viernes, 19 de junio de 2026 21:48:17",Apagado o fuera de cobertura,Apagado,23,433041
120,Automotor,CAPITAL,Starlink ER-01,TO829XP,549665173806,10139,763575684427729,-35.904755,-62.446168,"domingo, 06 de septiembre de 2026 16:24:08",En línea,Encendido,51,218597
121,Automotor,CAPITAL,Starlink ER-01,MH554ZN,549755583618,10140,207236804462535,-33.091276,-58.77312,"viernes, 04 de septiembre de 2026 21:38:50",En línea,Apagado,33,236016
122,Automotor,CAPITAL,Starlink ER-01,MV247XH,549569218625,10141,078351824969092,-36.74801,-65.203277,"domingo, 26 de julio de 2026 19:38:50",Apagado o fuera de cobertura,Apagado,23,164109
123,Automotor,CAPITAL,Tracker X1,OB178DQ,549625308337,8146489,506952952011097,-39.649297,-66.881288,"viernes, 19 de junio de 2026 10:48:14",Apagado o fuera de cobertura,Apagado,28,23038
124,Automotor,CAPITAL,Tracker X1,OX249DC,549016681683,3350025,711717830123655,-33.061314,-66.407804,"jueves, 03 de septiembre de 2026 23:47:38",En línea,Encendido,76,217567
125,Automotor,PATRULLA RURAL,Tracker X1,KE417QG,549801730914,10145,004112022683318,-34.657248,-66.953668,"viernes, 04 de septiembre de 2026 05:17:37",En línea,Apagado,41,489561
126,Automotor,CAMINERA,Tracker X1,TD929VR,549255184328,8731180,584785605217349,-31.291029,-65.923545,"martes, 08 de septiembre de 2026 20:53:52",En línea,Apagado,26,102426
127,Automotor,PATRULLA RURAL,Tracker X2,IQ064YI,549442439168,10148,396313812484340,-33.414077,-61.153779,"viernes, 24 de julio de 2026 17:46:48",Apagado o fuera de cobertura,Apagado,19,6033
128,Automotor,PATRULLA RURAL,Starlink ER-01,YH797TU,549368098176,10149,504457932777394,-33.291265,-67.530288,"miércoles, 09 de septiembre de 2026 03:19:38",En línea,Encendido,85,133861
129,Automotor,INTERIOR,Tracker X1,LP715SJ,549705023238,10150,598252324779577,-34.443311,-67.932777,"domingo, 06 de septiembre de 2026 07:29:43",En línea,Apagado,86,282428
130,Automotor,INTERIOR,Tracker X2,DT878YE,549085872090,10151,193006037926999,-39.204784,-64.417856,"lunes, 29 de junio de 2026 01:20:37",Apagado o fuera de cobertura,Apagado,5,126855
131,Automotor,INTERIOR,Starlink ER-01,PW596QL,549975064094,10152,097831894562030,-32.116372,-62.805258,"domingo, 06 de septiembre de 2026 21:46:51",En línea,Apagado,40,23210
132,Automotor,CAPITAL,Tracker X1,ZX814PG,549200839859,10153,266077148367015,-31.426573,-67.111361,"martes, 08 de septiembre de 2026 11:34:36",En línea,Apagado,65,423692
133,Automotor,CAPITAL,Tracker X2,WV618FK,549482865222,10154,153349023318429,-31.643135,-64.949961,"domingo, 06 de septiembre de 2026 19:30:21",En línea,Encendido,27,378794
134,Automotor,CAPITAL,Tracker X1,ET016OO,549532502530,10155,472722672785653,-35.785,-61.965847,"lunes, 07 de septiembre de 2026 10:11:25",En línea,Apagado,30,65822
135,Automotor,PATRULLA RURAL,Tracker X1,UR072ZN,549764624456,10156,724503811412206,-39.561342,-58.689501,"sábado, 05 de septiembre de 2026 04:51:53",En línea,Apagado,90,338305
136,Automotor,CAMINERA,Starlink ER-01,QR780AV,549875419045,10157,650915724156577,-34.297707,-64.016105,"lunes, 07 de septiembre de 2026 21:13:21",En línea,Encendido,55,51318
137,Automotor,CAPITAL,Tracker X1,OW278VS,549525248554,10158,477422511846319,-31.676759,-59.014978,"sábado, 05 de septiembre de 2026 02:37:36",En línea,Encendido,26,424660
138,Automotor,CAPITAL,Tracker X1,XZ888MZ,549631904061,10159,194664057636656,-30.314301,-58.844733,"jueves, 20 de agosto de 2026 16:11:22",Apagado o fuera de cobertura,Apagado,37,448934
139,Automotor,INTERIOR,Tracker X1,MM686GN,549562285904,10160,204287906671797,-34.354332,-61.085793,"domingo, 26 de julio de 2026 12:39:37",Apagado o fuera de cobertura,Apagado,43,289502
140,Automotor,PATRULLA RURAL,Tracker X1,MR508KL,,10162,896755850851410,-36.822638,-61.356599,"lunes, 07 de septiembre de 2026 11:28:13",En línea,Apagado,88,51705
141,Automotor,CAMINERA,Starlink ER-01,MX687KH,549232312839,7470823,253930593431002,-37.853784,-64.70465,"domingo, 06 de septiembre de 2026 09:31:52",En línea,Encendido,73,454007
142,Automotor,CAPITAL,Tracker X1,TP583LI,549726382396,10164,534587066968544,-36.862955,-60.756798,"miércoles, 09 de septiembre de 2026 05:26:07",En línea,Apagado,84,287067
143,Automotor,CAPITAL,Tracker X2,GN588WC,549138339600,10165,994465604268596,-31.515099,-61.054011,"domingo, 06 de septiembre de 2026 20:08:40",En línea,Encendido,68,337723
144,Automotor,CAPITAL,Starlink ER-01,RT668RN,549316214622,10166,585835901018864,-36.965744,-66.111275,"martes, 21 de julio de 2026 11:15:02",Apagado o fuera de cobertura,Apagado,10,35456
