id,dispositivo_id,instante_utc,latitud_simulada,longitud_simulada,odometro_km,horometro_h,bateria_pct
TEL-SYN-0000033,DEV-SYN-00033,2025-01-01T14:18:00+00:00,0.775552,0.827020,10418.2,501.6,31.5
TEL-SYN-0000034,DEV-SYN-00034,2025-01-01T14:44:00+00:00,0.432479,0.147950,10430.4,501.7,69.4
TEL-SYN-0000035,DEV-SYN-00035,2025-01-01T15:10:00+00:00,0.366416,0.525570,10444.2,501.8,38.8
TEL-SYN-0000036,DEV-SYN-00036,2025-01-01T15:36:00+00:00,0.862975,0.149781,10456.9,501.8,50.2
TEL-SYN-0000037,DEV-SYN-00037,2025-01-01T16:02:00+00:00,0.694873,0.259339,10474.3,501.8,79.7
TEL-SYN-0000038,DEV-SYN-00038,2025-01-01T16:28:00+00:00,0.113651,0.230588,10485.0,501.9,83.0
TEL-SYN-0000039,DEV-SYN-00039,2025-01-01T16:54:00+00:00,0.235976,0.609699,10501.8,502.0,69.1
TEL-SYN-0000040,DEV-SYN-00040,2025-01-01T17:20:00+00:00,0.240987,0.319963,10511.9,502.0,36.1
TEL-SYN-0000041,DEV-SYN-00041,2025-01-01T17:46:00+00:00,0.115851,0.344248,10521.7,502.0,26.1
TEL-SYN-0000042,DEV-SYN-00042,2025-01-01T18:12:00+00:00,0.299829,0.205917,10535.1,502.1,27.4
TEL-SYN-0000043,DEV-SYN-00043,2025-01-01T18:38:00+00:00,0.623749,0.701138,10552.5,502.2,98.4
TEL-SYN-0000044,DEV-SYN-00044,2025-01-01T19:04:00+00:00,0.804675,0.119523,10561.9,502.2,70.3
TEL-SYN-0000045,DEV-SYN-00045,2025-01-01T19:30:00+00:00,0.726843,0.495638,10572.2,502.2,30.6
TEL-SYN-0000046,DEV-SYN-00046,2025-01-01T19:56:00+00:00,0.399733,0.608750,10591.1,502.3,37.3
TEL-SYN-0000047,DEV-SYN-00047,2025-01-01T20:22:00+00:00,0.327012,0.369014,10599.6,502.4,32.6
TEL-SYN-0000048,DEV-SYN-00048,2025-01-01T20:48:00+00:00,0.880182,0.621313,10616.6,502.4,56.5
TEL-SYN-0000049,DEV-SYN-00049,2025-01-01T21:14:00+00:00,0.235023,0.360885,10627.5,502.4,33.1
TEL-SYN-0000050,DEV-SYN-00050,2025-01-01T21:40:00+00:00,0.427487,0.665558,10638.9,502.5,84.5
TEL-SYN-0000051,DEV-SYN-00051,2025-01-01T22:06:00+00:00,0.616497,0.344838,10651.1,502.6,81.5
TEL-SYN-0000052,DEV-SYN-00052,2025-01-01T22:32:00+00:00,0.189721,0.617667,10668.4,502.6,82.2
TEL-SYN-0000053,DEV-SYN-00053,2025-01-01T22:58:00+00:00,0.506897,0.856487,10678.8,502.6,63.7
TEL-SYN-0000054,DEV-SYN-00054,2025-01-01T23:24:00+00:00,0.804963,0.415322,10689.4,502.7,36.6
TEL-SYN-0000055,DEV-SYN-00055,2025-01-01T23:50:00+00:00,0.418049,0.792762,10708.4,502.8,28.8
TEL-SYN-0000056,DEV-SYN-00056,2025-01-02T00:16:00+00:00,0.259331,0.593927,10716.8,502.8,39.6
TEL-SYN-0000057,DEV-SYN-00057,2025-01-02T00:42:00+00:00,0.453275,0.731421,10735.5,502.8,82.2
TEL-SYN-0000058,DEV-SYN-00058,2025-01-02T01:08:00+00:00,0.232140,0.567239,10741.9,502.9,26.2
TEL-SYN-0000059,DEV-SYN-00059,2025-01-02T01:34:00+00:00,0.682885,0.233237,10761.9,503.0,43.8
TEL-SYN-0000060,DEV-SYN-00060,2025-01-02T02:00:00+00:00,0.590205,0.183143,10768.9,503.0,88.1
TEL-SYN-0000061,DEV-SYN-00061,2025-01-02T02:26:00+00:00,0.589844,0.576832,10782.0,503.0,29.9
TEL-SYN-0000062,DEV-SYN-00062,2025-01-02T02:52:00+00:00,0.316948,0.746377,10798.4,503.1,51.0
TEL-SYN-0000063,DEV-SYN-00063,2025-01-02T03:18:00+00:00,0.353730,0.736664,10807.5,503.2,49.7
TEL-SYN-0000064,DEV-SYN-00064,2025-01-02T03:44:00+00:00,0.742482,0.573797,10821.7,503.2,83.4
TEL-SYN-0000065,DEV-SYN-00065,2025-01-02T04:10:00+00:00,0.329476,0.651618,10836.4,503.2,81.1
TEL-SYN-0000066,DEV-SYN-00066,2025-01-02T04:36:00+00:00,0.822620,0.327624,10848.7,503.3,38.8
TEL-SYN-0000067,DEV-SYN-00067,2025-01-02T05:02:00+00:00,0.314595,0.722049,10860.7,503.4,76.7
TEL-SYN-0000068,DEV-SYN-00068,2025-01-02T05:28:00+00:00,0.717076,0.514250,10872.3,503.4,48.2
TEL-SYN-0000069,DEV-SYN-00069,2025-01-02T05:54:00+00:00,0.300026,0.578473,10884.6,503.4,47.3
TEL-SYN-0000070,DEV-SYN-00070,2025-01-02T06:20:00+00:00,0.232575,0.786400,10903.6,503.5,31.7
TEL-SYN-0000071,DEV-SYN-00071,2025-01-02T06:46:00+00:00,0.751590,0.547546,10914.3,503.6,63.4
TEL-SYN-0000072,DEV-SYN-00072,2025-01-02T07:12:00+00:00,0.367057,0.431872,10925.3,503.6,95.9
TEL-SYN-0000073,DEV-SYN-00073,2025-01-02T07:38:00+00:00,0.211210,0.553018,10938.4,503.6,86.5
TEL-SYN-0000074,DEV-SYN-00074,2025-01-02T08:04:00+00:00,0.336057,0.199919,10955.4,503.7,34.6
TEL-SYN-0000075,DEV-SYN-00075,2025-01-02T08:30:00+00:00,0.425544,0.315194,10968.7,503.8,51.0
TEL-SYN-0000076,DEV-SYN-00076,2025-01-02T08:56:00+00:00,0.790056,0.415594,10980.5,503.8,46.9
TEL-SYN-0000077,DEV-SYN-00077,2025-01-02T09:22:00+00:00,0.531912,0.541333,10995.2,503.8,68.1
TEL-SYN-0000078,DEV-SYN-00078,2025-01-02T09:48:00+00:00,0.147354,0.644789,11002.2,503.9,69.4
TEL-SYN-0000079,DEV-SYN-00079,2025-01-02T10:14:00+00:00,0.558895,0.328488,11021.0,504.0,60.8
TEL-SYN-0000080,DEV-SYN-00080,2025-01-02T10:40:00+00:00,0.161248,0.508518,11031.9,504.0,43.5
TEL-SYN-0000081,DEV-SYN-00081,2025-01-02T11:06:00+00:00,0.499000,0.316509,11047.8,504.0,29.3
TEL-SYN-0000082,DEV-SYN-00082,2025-01-02T11:32:00+00:00,0.686096,0.359535,11054.4,504.1,57.3
TEL-SYN-0000083,DEV-SYN-00083,2025-01-02T11:58:00+00:00,0.424950,0.572727,11067.5,504.2,54.2
TEL-SYN-0000084,DEV-SYN-00084,2025-01-02T12:24:00+00:00,0.247047,0.678424,11083.1,504.2,29.4
TEL-SYN-0000085,DEV-SYN-00085,2025-01-02T12:50:00+00:00,0.796540,0.233610,11097.0,504.2,56.8
TEL-SYN-0000086,DEV-SYN-00086,2025-01-02T13:16:00+00:00,0.882940,0.459137,11108.8,504.3,73.2
TEL-SYN-0000087,DEV-SYN-00087,2025-01-02T13:42:00+00:00,0.647516,0.223948,11124.1,504.4,39.1
TEL-SYN-0000088,DEV-SYN-00088,2025-01-02T14:08:00+00:00,0.232078,0.637270,11136.3,504.4,95.6
TEL-SYN-0000089,DEV-SYN-00089,2025-01-02T14:34:00+00:00,0.767601,0.574114,11146.2,504.4,27.5
TEL-SYN-0000090,DEV-SYN-00090,2025-01-02T15:00:00+00:00,0.767114,0.728819,11158.7,504.5,42.8
TEL-SYN-0000091,DEV-SYN-00091,2025-01-02T15:26:00+00:00,0.342393,0.627918,11171.1,504.6,94.4
TEL-SYN-0000092,DEV-SYN-00092,2025-01-02T15:52:00+00:00,0.823937,0.513612,11183.7,504.6,58.3
TEL-SYN-0000093,DEV-SYN-00093,2025-01-02T16:18:00+00:00,0.578512,0.633440,11203.1,504.6,25.5
TEL-SYN-0000094,DEV-SYN-00094,2025-01-02T16:44:00+00:00,0.863953,0.650311,11212.2,504.7,26.7
TEL-SYN-0000095,DEV-SYN-00095,2025-01-02T17:10:00+00:00,0.685964,0.584636,11229.2,504.8,86.8
TEL-SYN-0000096,DEV-SYN-00096,2025-01-02T17:36:00+00:00,0.797041,0.128039,11241.8,504.8,29.0
TEL-SYN-0000097,DEV-SYN-00097,2025-01-02T18:02:00+00:00,0.406466,0.405029,11248.4,504.8,54.6
TEL-SYN-0000098,DEV-SYN-00098,2025-01-02T18:28:00+00:00,0.674137,0.291462,11265.2,504.9,94.5
TEL-SYN-0000099,DEV-SYN-00099,2025-01-02T18:54:00+00:00,0.865433,0.629100,11279.4,505.0,27.8
TEL-SYN-0000100,DEV-SYN-00100,2025-01-02T19:20:00+00:00,0.896020,0.872084,11287.4,505.0,47.7
TEL-SYN-0000101,DEV-SYN-00101,2025-01-02T19:46:00+00:00,0.825645,0.704785,11307.8,505.0,99.2
TEL-SYN-0000102,DEV-SYN-00102,2025-01-02T20:12:00+00:00,0.562682,0.568050,11313.5,505.1,72.7
TEL-SYN-0000103,DEV-SYN-00103,2025-01-02T20:38:00+00:00,0.463993,0.806218,11332.2,505.2,95.6
TEL-SYN-0000104,DEV-SYN-00104,2025-01-02T21:04:00+00:00,0.756803,0.785441,11343.0,505.2,25.2
TEL-SYN-0000105,DEV-SYN-00105,2025-01-02T21:30:00+00:00,0.252102,0.837916,11357.6,505.2,61.9
TEL-SYN-0000106,DEV-SYN-00106,2025-01-02T21:56:00+00:00,0.880512,0.522205,11365.5,505.3,60.0
TEL-SYN-0000107,DEV-SYN-00107,2025-01-02T22:22:00+00:00,0.779593,0.473644,11385.3,505.4,34.0
TEL-SYN-0000108,DEV-SYN-00108,2025-01-02T22:48:00+00:00,0.166159,0.169620,11392.9,505.4,96.9
TEL-SYN-0000109,DEV-SYN-00109,2025-01-02T23:14:00+00:00,0.809797,0.798962,11406.2,505.4,42.9
TEL-SYN-0000110,DEV-SYN-00110,2025-01-02T23:40:00+00:00,0.281643,0.315478,11423.9,505.5,33.1
TEL-SYN-0000111,DEV-SYN-00111,2025-01-03T00:06:00+00:00,0.529241,0.479108,11433.6,505.6,91.3
TEL-SYN-0000112,DEV-SYN-00112,2025-01-03T00:32:00+00:00,0.891229,0.498735,11445.5,505.6,31.0
TEL-SYN-0000113,DEV-SYN-00113,2025-01-03T00:58:00+00:00,0.878452,0.146677,11456.8,505.6,76.5
TEL-SYN-0000114,DEV-SYN-00114,2025-01-03T01:24:00+00:00,0.562732,0.615434,11470.0,505.7,62.8
TEL-SYN-0000115,DEV-SYN-00115,2025-01-03T01:50:00+00:00,0.451787,0.661038,11484.8,505.8,56.0
TEL-SYN-0000116,DEV-SYN-00116,2025-01-03T02:16:00+00:00,0.647261,0.434186,11501.3,505.8,90.8
TEL-SYN-0000117,DEV-SYN-00117,2025-01-03T02:42:00+00:00,0.284414,0.849676,11515.7,505.8,71.4
TEL-SYN-0000118,DEV-SYN-00118,2025-01-03T03:08:00+00:00,0.178558,0.306049,11525.0,505.9,60.0
TEL-SYN-0000119,DEV-SYN-00119,2025-01-03T03:34:00+00:00,0.515469,0.497519,11534.9,506.0,79.7
TEL-SYN-0000120,DEV-SYN-00120,2025-01-03T04:00:00+00:00,0.883135,0.240229,11552.3,506.0,77.1
TEL-SYN-0000121,DEV-SYN-00121,2025-01-03T04:26:00+00:00,0.894999,0.460698,11567.3,506.0,41.8
TEL-SYN-0000122,DEV-SYN-00122,2025-01-03T04:52:00+00:00,0.728937,0.334648,11578.4,506.1,90.0
TEL-SYN-0000123,DEV-SYN-00123,2025-01-03T05:18:00+00:00,0.817700,0.832459,11592.4,506.2,57.4
TEL-SYN-0000124,DEV-SYN-00124,2025-01-03T05:44:00+00:00,0.557282,0.270824,11600.8,506.2,68.0
TEL-SYN-0000125,DEV-SYN-00125,2025-01-03T06:10:00+00:00,0.145126,0.311453,11619.7,506.2,56.1
TEL-SYN-0000126,DEV-SYN-00126,2025-01-03T06:36:00+00:00,0.106438,0.613870,11625.4,506.3,78.8
TEL-SYN-0000127,DEV-SYN-00127,2025-01-03T07:02:00+00:00,0.145778,0.435793,11644.6,506.4,37.9
TEL-SYN-0000128,DEV-SYN-00128,2025-01-03T07:28:00+00:00,0.210318,0.256432,11653.5,506.4,25.2
TEL-SYN-0000129,DEV-SYN-00129,2025-01-03T07:54:00+00:00,0.205323,0.154552,11670.0,506.4,86.5
TEL-SYN-0000130,DEV-SYN-00130,2025-01-03T08:20:00+00:00,0.414903,0.849171,11681.0,506.5,27.1
TEL-SYN-0000131,DEV-SYN-00131,2025-01-03T08:46:00+00:00,0.166891,0.641321,11696.7,506.6,57.3
TEL-SYN-0000132,DEV-SYN-00132,2025-01-03T09:12:00+00:00,0.271710,0.728830,11705.3,506.6,56.6
TEL-SYN-0000133,DEV-SYN-00133,2025-01-03T09:38:00+00:00,0.630247,0.270955,11721.5,506.6,26.2
TEL-SYN-0000134,DEV-SYN-00134,2025-01-03T10:04:00+00:00,0.759539,0.226946,11733.4,506.7,93.1
TEL-SYN-0000135,DEV-SYN-00135,2025-01-03T10:30:00+00:00,0.393266,0.749304,11746.6,506.8,76.4
TEL-SYN-0000136,DEV-SYN-00136,2025-01-03T10:56:00+00:00,0.475128,0.333941,11755.6,506.8,81.6
TEL-SYN-0000137,DEV-SYN-00137,2025-01-03T11:22:00+00:00,0.339148,0.281063,11771.0,506.8,74.5
TEL-SYN-0000138,DEV-SYN-00138,2025-01-03T11:48:00+00:00,0.111708,0.292425,11781.7,506.9,54.4
TEL-SYN-0000139,DEV-SYN-00139,2025-01-03T12:14:00+00:00,0.791768,0.592447,11801.2,507.0,58.8
TEL-SYN-0000140,DEV-SYN-00140,2025-01-03T12:40:00+00:00,0.416973,0.245169,11812.3,507.0,47.6
TEL-SYN-0000141,DEV-SYN-00141,2025-01-03T13:06:00+00:00,0.131551,0.815532,11823.9,507.0,36.5
TEL-SYN-0000142,DEV-SYN-00142,2025-01-03T13:32:00+00:00,0.438208,0.642880,11834.3,507.1,51.7
TEL-SYN-0000143,DEV-SYN-00143,2025-01-03T13:58:00+00:00,0.331163,0.270355,11851.8,507.2,76.0
TEL-SYN-0000144,DEV-SYN-00144,2025-01-03T14:24:00+00:00,0.582709,0.883885,11864.3,507.2,42.8
TEL-SYN-0000145,DEV-SYN-00145,2025-01-03T14:50:00+00:00,0.827583,0.623748,11873.5,507.2,80.7
TEL-SYN-0000146,DEV-SYN-00146,2025-01-03T15:16:00+00:00,0.218540,0.433719,11886.7,507.3,85.7
TEL-SYN-0000147,DEV-SYN-00147,2025-01-03T15:42:00+00:00,0.336809,0.460404,11905.4,507.4,51.1
TEL-SYN-0000148,DEV-SYN-00148,2025-01-03T16:08:00+00:00,0.632363,0.857972,11912.5,507.4,97.7
TEL-SYN-0000149,DEV-SYN-00149,2025-01-03T16:34:00+00:00,0.692456,0.554104,11929.8,507.4,30.4
TEL-SYN-0000150,DEV-SYN-00150,2025-01-03T17:00:00+00:00,0.330453,0.456634,11938.0,507.5,62.4
TEL-SYN-0000151,DEV-SYN-00151,2025-01-03T17:26:00+00:00,0.182723,0.451973,11955.6,507.6,52.6
TEL-SYN-0000152,DEV-SYN-00152,2025-01-03T17:52:00+00:00,0.563469,0.424445,11965.8,507.6,72.1
TEL-SYN-0000153,DEV-SYN-00153,2025-01-03T18:18:00+00:00,0.526789,0.737086,11978.8,507.6,64.5
TEL-SYN-0000154,DEV-SYN-00154,2025-01-03T18:44:00+00:00,0.230081,0.399000,11990.1,507.7,88.9
TEL-SYN-0000155,DEV-SYN-00155,2025-01-03T19:10:00+00:00,0.459571,0.242769,12006.7,507.8,45.2
TEL-SYN-0000156,DEV-SYN-00156,2025-01-03T19:36:00+00:00,0.716164,0.566220,12017.8,507.8,68.5
TEL-SYN-0000157,DEV-SYN-00157,2025-01-03T20:02:00+00:00,0.677015,0.391324,12031.8,507.8,34.4
TEL-SYN-0000158,DEV-SYN-00158,2025-01-03T20:28:00+00:00,0.260086,0.472223,12044.1,507.9,71.3
TEL-SYN-0000159,DEV-SYN-00159,2025-01-03T20:54:00+00:00,0.485742,0.116060,12058.8,508.0,41.0
TEL-SYN-0000160,DEV-SYN-00160,2025-01-03T21:20:00+00:00,0.683168,0.663158,12068.4,508.0,90.4
TEL-SYN-0000161,DEV-SYN-00161,2025-01-03T21:46:00+00:00,0.103014,0.260263,12082.5,508.0,99.9
TEL-SYN-0000162,DEV-SYN-00162,2025-01-03T22:12:00+00:00,0.371416,0.831346,12094.0,508.1,89.3
TEL-SYN-0000163,DEV-SYN-00163,2025-01-03T22:38:00+00:00,0.446830,0.238402,12107.4,508.2,33.1
TEL-SYN-0000164,DEV-SYN-00164,2025-01-03T23:04:00+00:00,0.407397,0.510024,12125.8,508.2,74.2
TEL-SYN-0000165,DEV-SYN-00165,2025-01-03T23:30:00+00:00,0.795499,0.606079,12135.9,508.2,50.8
TEL-SYN-0000166,DEV-SYN-00166,2025-01-03T23:56:00+00:00,0.745781,0.512736,12150.2,508.3,93.0
TEL-SYN-0000167,DEV-SYN-00167,2025-01-04T00:22:00+00:00,0.794340,0.605814,12165.7,508.4,55.6
TEL-SYN-0000168,DEV-SYN-00168,2025-01-04T00:48:00+00:00,0.482294,0.569933,12173.2,508.4,73.1
TEL-SYN-0000169,DEV-SYN-00169,2025-01-04T01:14:00+00:00,0.306981,0.117900,12187.2,508.4,95.3
TEL-SYN-0000170,DEV-SYN-00170,2025-01-04T01:40:00+00:00,0.878116,0.327817,12205.0,508.5,69.5
TEL-SYN-0000171,DEV-SYN-00171,2025-01-04T02:06:00+00:00,0.661226,0.562843,12215.4,508.6,37.4
TEL-SYN-0000172,DEV-SYN-00172,2025-01-04T02:32:00+00:00,0.896820,0.341715,12230.5,508.6,82.5
TEL-SYN-0000173,DEV-SYN-00173,2025-01-04T02:58:00+00:00,0.544220,0.788393,12238.1,508.6,32.6
TEL-SYN-0000174,DEV-SYN-00174,2025-01-04T03:24:00+00:00,0.589813,0.754313,12252.0,508.7,98.0
TEL-SYN-0000175,DEV-SYN-00175,2025-01-04T03:50:00+00:00,0.521355,0.571592,12263.6,508.8,61.1
TEL-SYN-0000176,DEV-SYN-00176,2025-01-04T04:16:00+00:00,0.736298,0.167496,12276.9,508.8,61.5
TEL-SYN-0000177,DEV-SYN-00177,2025-01-04T04:42:00+00:00,0.410552,0.163199,12288.5,508.8,41.5
TEL-SYN-0000178,DEV-SYN-00178,2025-01-04T05:08:00+00:00,0.100345,0.280966,12306.9,508.9,41.8
TEL-SYN-0000179,DEV-SYN-00179,2025-01-04T05:34:00+00:00,0.804736,0.639289,12315.2,509.0,47.8
TEL-SYN-0000180,DEV-SYN-00180,2025-01-04T06:00:00+00:00,0.638847,0.660644,12334.2,509.0,27.8
TEL-SYN-0000181,DEV-SYN-00001,2025-01-04T06:26:00+00:00,0.154584,0.860411,10009.3,509.0,65.7
TEL-SYN-0000182,DEV-SYN-00002,2025-01-04T06:52:00+00:00,0.395742,0.754433,10019.3,509.1,92.9
TEL-SYN-0000183,DEV-SYN-00003,2025-01-04T07:18:00+00:00,0.600259,0.375581,10034.2,509.2,88.8
TEL-SYN-0000184,DEV-SYN-00004,2025-01-04T07:44:00+00:00,0.658414,0.835153,10044.2,509.2,37.3
TEL-SYN-0000185,DEV-SYN-00005,2025-01-04T08:10:00+00:00,0.283006,0.238656,10063.3,509.2,92.2
TEL-SYN-0000186,DEV-SYN-00006,2025-01-04T08:36:00+00:00,0.383111,0.598509,10070.0,509.3,34.8
TEL-SYN-0000187,DEV-SYN-00007,2025-01-04T09:02:00+00:00,0.193165,0.298047,10092.1,509.4,78.6
TEL-SYN-0000188,DEV-SYN-00008,2025-01-04T09:28:00+00:00,0.428809,0.205982,10096.9,509.4,31.2
TEL-SYN-0000189,DEV-SYN-00009,2025-01-04T09:54:00+00:00,0.474980,0.226774,10116.0,509.4,59.6
TEL-SYN-0000190,DEV-SYN-00010,2025-01-04T10:20:00+00:00,0.390743,0.853265,10131.6,509.5,58.1
TEL-SYN-0000191,DEV-SYN-00011,2025-01-04T10:46:00+00:00,0.866027,0.595879,10138.9,509.6,46.1
TEL-SYN-0000192,DEV-SYN-00012,2025-01-04T11:12:00+00:00,0.144626,0.889636,10152.0,509.6,45.8
TEL-SYN-0000193,DEV-SYN-00013,2025-01-04T11:38:00+00:00,0.389895,0.725047,10161.8,509.6,81.6
TEL-SYN-0000194,DEV-SYN-00014,2025-01-04T12:04:00+00:00,0.288361,0.585005,10170.3,509.7,26.6
TEL-SYN-0000195,DEV-SYN-00015,2025-01-04T12:30:00+00:00,0.629491,0.197876,10195.2,509.8,29.5
TEL-SYN-0000196,DEV-SYN-00016,2025-01-04T12:56:00+00:00,0.635476,0.717510,10200.2,509.8,64.9
TEL-SYN-0000197,DEV-SYN-00017,2025-01-04T13:22:00+00:00,0.558318,0.353238,10220.6,509.8,61.2
TEL-SYN-0000198,DEV-SYN-00018,2025-01-04T13:48:00+00:00,0.425613,0.666005,10227.3,509.9,63.3
TEL-SYN-0000199,DEV-SYN-00019,2025-01-04T14:14:00+00:00,0.392052,0.691778,10245.2,510.0,42.9
TEL-SYN-0000200,DEV-SYN-00020,2025-01-04T14:40:00+00:00,0.512260,0.418912,10254.8,510.0,75.9
TEL-SYN-0000201,DEV-SYN-00021,2025-01-04T15:06:00+00:00,0.462372,0.340137,10267.7,510.0,80.1
TEL-SYN-0000202,DEV-SYN-00022,2025-01-04T15:32:00+00:00,0.344033,0.427543,10281.4,510.1,76.6
TEL-SYN-0000203,DEV-SYN-00023,2025-01-04T15:58:00+00:00,0.809265,0.404879,10289.1,510.2,83.3
TEL-SYN-0000204,DEV-SYN-00024,2025-01-04T16:24:00+00:00,0.279667,0.527740,10310.1,510.2,34.5
TEL-SYN-0000205,DEV-SYN-00025,2025-01-04T16:50:00+00:00,0.503209,0.797689,10321.1,510.2,31.7
TEL-SYN-0000206,DEV-SYN-00026,2025-01-04T17:16:00+00:00,0.474660,0.270917,10335.0,510.3,61.4
TEL-SYN-0000207,DEV-SYN-00027,2025-01-04T17:42:00+00:00,0.739106,0.255530,10342.9,510.4,49.6
TEL-SYN-0000208,DEV-SYN-00028,2025-01-04T18:08:00+00:00,0.752210,0.575806,10366.2,510.4,93.4
TEL-SYN-0000209,DEV-SYN-00029,2025-01-04T18:34:00+00:00,0.624270,0.214222,10368.4,510.4,43.6
TEL-SYN-0000210,DEV-SYN-00030,2025-01-04T19:00:00+00:00,0.821769,0.333361,10384.1,510.5,56.9
TEL-SYN-0000211,DEV-SYN-00031,2025-01-04T19:26:00+00:00,0.164731,0.541723,10398.1,510.6,39.5
TEL-SYN-0000212,DEV-SYN-00032,2025-01-04T19:52:00+00:00,0.289972,0.629883,10409.7,510.6,33.2
TEL-SYN-0000213,DEV-SYN-00033,2025-01-04T20:18:00+00:00,0.659279,0.752982,10424.6,510.6,60.3
TEL-SYN-0000214,DEV-SYN-00034,2025-01-04T20:44:00+00:00,0.304473,0.597236,10434.7,510.7,73.8
TEL-SYN-0000215,DEV-SYN-00035,2025-01-04T21:10:00+00:00,0.237865,0.256337,10451.1,510.8,64.0
TEL-SYN-0000216,DEV-SYN-00036,2025-01-04T21:36:00+00:00,0.377943,0.624456,10463.1,510.8,84.5
TEL-SYN-0000217,DEV-SYN-00037,2025-01-04T22:02:00+00:00,0.792998,0.419398,10480.3,510.8,58.6
TEL-SYN-0000218,DEV-SYN-00038,2025-01-04T22:28:00+00:00,0.697148,0.239745,10491.7,510.9,89.1
TEL-SYN-0000219,DEV-SYN-00039,2025-01-04T22:54:00+00:00,0.534081,0.302906,10505.7,511.0,35.3
TEL-SYN-0000220,DEV-SYN-00040,2025-01-04T23:20:00+00:00,0.314368,0.763289,10516.2,511.0,53.3
