id,vehiculo_id,persona_id,fecha,litros_solicitados,estado
REQ-SYN-000040,VEH-SYN-00191,PER-SYN-00261,2025-02-10,20.00,Rendida
REQ-SYN-000041,VEH-SYN-00202,PER-SYN-00280,2025-02-11,21.00,Anulada
REQ-SYN-000042,VEH-SYN-00213,PER-SYN-00299,2025-02-12,22.00,Pendiente
REQ-SYN-000043,VEH-SYN-00224,PER-SYN-00318,2025-02-13,23.00,Rendida
REQ-SYN-000044,VEH-SYN-00235,PER-SYN-00337,2025-02-14,24.00,Anulada
REQ-SYN-000045,VEH-SYN-00246,PER-SYN-00356,2025-02-15,25.00,Pendiente
REQ-SYN-000046,VEH-SYN-00007,PER-SYN-00375,2025-02-16,26.00,Rendida
REQ-SYN-000047,VEH-SYN-00018,PER-SYN-00394,2025-02-17,27.00,Anulada
REQ-SYN-000048,VEH-SYN-00029,PER-SYN-00413,2025-02-18,28.00,Pendiente
REQ-SYN-000049,VEH-SYN-00040,PER-SYN-00432,2025-02-19,29.00,Rendida
REQ-SYN-000050,VEH-SYN-00051,PER-SYN-00451,2025-02-20,30.00,Anulada
REQ-SYN-000051,VEH-SYN-00062,PER-SYN-00470,2025-02-21,31.00,Pendiente
REQ-SYN-000052,VEH-SYN-00073,PER-SYN-00489,2025-02-22,32.00,Rendida
REQ-SYN-000053,VEH-SYN-00084,PER-SYN-00008,2025-02-23,33.00,Anulada
REQ-SYN-000054,VEH-SYN-00095,PER-SYN-00027,2025-02-24,34.00,Pendiente
REQ-SYN-000055,VEH-SYN-00106,PER-SYN-00046,2025-02-25,35.00,Rendida
REQ-SYN-000056,VEH-SYN-00117,PER-SYN-00065,2025-02-26,36.00,Anulada
REQ-SYN-000057,VEH-SYN-00128,PER-SYN-00084,2025-02-27,37.00,Pendiente
REQ-SYN-000058,VEH-SYN-00139,PER-SYN-00103,2025-02-28,38.00,Rendida
REQ-SYN-000059,VEH-SYN-00150,PER-SYN-00122,2025-03-01,39.00,Anulada
REQ-SYN-000060,VEH-SYN-00161,PER-SYN-00141,2025-03-02,40.00,Pendiente
REQ-SYN-000061,VEH-SYN-00172,PER-SYN-00160,2025-03-03,41.00,Rendida
REQ-SYN-000062,VEH-SYN-00183,PER-SYN-00179,2025-03-04,42.00,Anulada
REQ-SYN-000063,VEH-SYN-00194,PER-SYN-00198,2025-03-05,43.00,Pendiente
REQ-SYN-000064,VEH-SYN-00205,PER-SYN-00217,2025-03-06,44.00,Rendida
REQ-SYN-000065,VEH-SYN-00216,PER-SYN-00236,2025-03-07,45.00,Anulada
REQ-SYN-000066,VEH-SYN-00227,PER-SYN-00255,2025-03-08,46.00,Pendiente
REQ-SYN-000067,VEH-SYN-00238,PER-SYN-00274,2025-03-09,47.00,Rendida
REQ-SYN-000068,VEH-SYN-00249,PER-SYN-00293,2025-03-10,48.00,Anulada
REQ-SYN-000069,VEH-SYN-00010,PER-SYN-00312,2025-03-11,49.00,Pendiente
REQ-SYN-000070,VEH-SYN-00021,PER-SYN-00331,2025-03-12,15.00,Rendida
REQ-SYN-000071,VEH-SYN-00032,PER-SYN-00350,2025-03-13,16.00,Anulada
REQ-SYN-000072,VEH-SYN-00043,PER-SYN-00369,2025-03-14,17.00,Pendiente
REQ-SYN-000073,VEH-SYN-00054,PER-SYN-00388,2025-03-15,18.00,Rendida
REQ-SYN-000074,VEH-SYN-00065,PER-SYN-00407,2025-03-16,19.00,Anulada
REQ-SYN-000075,VEH-SYN-00076,PER-SYN-00426,2025-03-17,20.00,Pendiente
REQ-SYN-000076,VEH-SYN-00087,PER-SYN-00445,2025-03-18,21.00,Rendida
REQ-SYN-000077,VEH-SYN-00098,PER-SYN-00464,2025-03-19,22.00,Anulada
REQ-SYN-000078,VEH-SYN-00109,PER-SYN-00483,2025-03-20,23.00,Pendiente
REQ-SYN-000079,VEH-SYN-00120,PER-SYN-00002,2025-03-21,24.00,Rendida
REQ-SYN-000080,VEH-SYN-00131,PER-SYN-00021,2025-03-22,25.00,Anulada
REQ-SYN-000081,VEH-SYN-00142,PER-SYN-00040,2025-03-23,26.00,Pendiente
REQ-SYN-000082,VEH-SYN-00153,PER-SYN-00059,2025-03-24,27.00,Rendida
REQ-SYN-000083,VEH-SYN-00164,PER-SYN-00078,2025-03-25,28.00,Anulada
REQ-SYN-000084,VEH-SYN-00175,PER-SYN-00097,2025-03-26,29.00,Pendiente
REQ-SYN-000085,VEH-SYN-00186,PER-SYN-00116,2025-03-27,30.00,Rendida
REQ-SYN-000086,VEH-SYN-00197,PER-SYN-00135,2025-03-28,31.00,Anulada
REQ-SYN-000087,VEH-SYN-00208,PER-SYN-00154,2025-03-29,32.00,Pendiente
REQ-SYN-000088,VEH-SYN-00219,PER-SYN-00173,2025-03-30,33.00,Rendida
REQ-SYN-000089,VEH-SYN-00230,PER-SYN-00192,2025-03-31,34.00,Anulada
REQ-SYN-000090,VEH-SYN-00241,PER-SYN-00211,2025-04-01,35.00,Pendiente
REQ-SYN-000091,VEH-SYN-00002,PER-SYN-00230,2025-04-02,36.00,Rendida
REQ-SYN-000092,VEH-SYN-00013,PER-SYN-00249,2025-04-03,37.00,Anulada
REQ-SYN-000093,VEH-SYN-00024,PER-SYN-00268,2025-04-04,38.00,Pendiente
REQ-SYN-000094,VEH-SYN-00035,PER-SYN-00287,2025-04-05,39.00,Rendida
REQ-SYN-000095,VEH-SYN-00046,PER-SYN-00306,2025-04-06,40.00,Anulada
REQ-SYN-000096,VEH-SYN-00057,PER-SYN-00325,2025-04-07,41.00,Pendiente
REQ-SYN-000097,VEH-SYN-00068,PER-SYN-00344,2025-04-08,42.00,Rendida
REQ-SYN-000098,VEH-SYN-00079,PER-SYN-00363,2025-04-09,43.00,Anulada
REQ-SYN-000099,VEH-SYN-00090,PER-SYN-00382,2025-04-10,44.00,Pendiente
REQ-SYN-000100,VEH-SYN-00101,PER-SYN-00401,2025-04-11,45.00,Rendida
REQ-SYN-000101,VEH-SYN-00112,PER-SYN-00420,2025-04-12,46.00,Anulada
REQ-SYN-000102,VEH-SYN-00123,PER-SYN-00439,2025-04-13,47.00,Pendiente
REQ-SYN-000103,VEH-SYN-00134,PER-SYN-00458,2025-04-14,48.00,Rendida
REQ-SYN-000104,VEH-SYN-00145,PER-SYN-00477,2025-04-15,49.00,Anulada
REQ-SYN-000105,VEH-SYN-00156,PER-SYN-00496,2025-04-16,15.00,Pendiente
REQ-SYN-000106,VEH-SYN-00167,PER-SYN-00015,2025-04-17,16.00,Rendida
REQ-SYN-000107,VEH-SYN-00178,PER-SYN-00034,2025-04-18,17.00,Anulada
REQ-SYN-000108,VEH-SYN-00189,PER-SYN-00053,2025-04-19,18.00,Pendiente
REQ-SYN-000109,VEH-SYN-00200,PER-SYN-00072,2025-04-20,19.00,Rendida
REQ-SYN-000110,VEH-SYN-00211,PER-SYN-00091,2025-04-21,20.00,Anulada
REQ-SYN-000111,VEH-SYN-00222,PER-SYN-00110,2025-04-22,21.00,Pendiente
REQ-SYN-000112,VEH-SYN-00233,PER-SYN-00129,2025-04-23,22.00,Rendida
REQ-SYN-000113,VEH-SYN-00244,PER-SYN-00148,2025-04-24,23.00,Anulada
REQ-SYN-000114,VEH-SYN-00005,PER-SYN-00167,2025-04-25,24.00,Pendiente
REQ-SYN-000115,VEH-SYN-00016,PER-SYN-00186,2025-04-26,25.00,Rendida
REQ-SYN-000116,VEH-SYN-00027,PER-SYN-00205,2025-04-27,26.00,Anulada
REQ-SYN-000117,VEH-SYN-00038,PER-SYN-00224,2025-04-28,27.00,Pendiente
REQ-SYN-000118,VEH-SYN-00049,PER-SYN-00243,2025-04-29,28.00,Rendida
REQ-SYN-000119,VEH-SYN-00060,PER-SYN-00262,2025-04-30,29.00,Anulada
REQ-SYN-000120,VEH-SYN-00071,PER-SYN-00281,2025-05-01,30.00,Pendiente
REQ-SYN-000121,VEH-SYN-00082,PER-SYN-00300,2025-05-02,31.00,Rendida
REQ-SYN-000122,VEH-SYN-00093,PER-SYN-00319,2025-05-03,32.00,Anulada
REQ-SYN-000123,VEH-SYN-00104,PER-SYN-00338,2025-05-04,33.00,Pendiente
REQ-SYN-000124,VEH-SYN-00115,PER-SYN-00357,2025-05-05,34.00,Rendida
REQ-SYN-000125,VEH-SYN-00126,PER-SYN-00376,2025-05-06,35.00,Anulada
REQ-SYN-000126,VEH-SYN-00137,PER-SYN-00395,2025-05-07,36.00,Pendiente
REQ-SYN-000127,VEH-SYN-00148,PER-SYN-00414,2025-05-08,37.00,Rendida
REQ-SYN-000128,VEH-SYN-00159,PER-SYN-00433,2025-05-09,38.00,Anulada
REQ-SYN-000129,VEH-SYN-00170,PER-SYN-00452,2025-05-10,39.00,Pendiente
REQ-SYN-000130,VEH-SYN-00181,PER-SYN-00471,2025-05-11,40.00,Rendida
REQ-SYN-000131,VEH-SYN-00192,PER-SYN-00490,2025-05-12,41.00,Anulada
REQ-SYN-000132,VEH-SYN-00203,PER-SYN-00009,2025-05-13,42.00,Pendiente
REQ-SYN-000133,VEH-SYN-00214,PER-SYN-00028,2025-05-14,43.00,Rendida
REQ-SYN-000134,VEH-SYN-00225,PER-SYN-00047,2025-05-15,44.00,Anulada
REQ-SYN-000135,VEH-SYN-00236,PER-SYN-00066,2025-05-16,45.00,Pendiente
REQ-SYN-000136,VEH-SYN-00247,PER-SYN-00085,2025-05-17,46.00,Rendida
REQ-SYN-000137,VEH-SYN-00008,PER-SYN-00104,2025-05-18,47.00,Anulada
REQ-SYN-000138,VEH-SYN-00019,PER-SYN-00123,2025-05-19,48.00,Pendiente
REQ-SYN-000139,VEH-SYN-00030,PER-SYN-00142,2025-05-20,49.00,Rendida
REQ-SYN-000140,VEH-SYN-00041,PER-SYN-00161,2025-05-21,15.00,Anulada
REQ-SYN-000141,VEH-SYN-00052,PER-SYN-00180,2025-05-22,16.00,Pendiente
REQ-SYN-000142,VEH-SYN-00063,PER-SYN-00199,2025-05-23,17.00,Rendida
REQ-SYN-000143,VEH-SYN-00074,PER-SYN-00218,2025-05-24,18.00,Anulada
REQ-SYN-000144,VEH-SYN-00085,PER-SYN-00237,2025-05-25,19.00,Pendiente
REQ-SYN-000145,VEH-SYN-00096,PER-SYN-00256,2025-05-26,20.00,Rendida
REQ-SYN-000146,VEH-SYN-00107,PER-SYN-00275,2025-05-27,21.00,Anulada
REQ-SYN-000147,VEH-SYN-00118,PER-SYN-00294,2025-05-28,22.00,Pendiente
REQ-SYN-000148,VEH-SYN-00129,PER-SYN-00313,2025-05-29,23.00,Rendida
REQ-SYN-000149,VEH-SYN-00140,PER-SYN-00332,2025-05-30,24.00,Anulada
REQ-SYN-000150,VEH-SYN-00151,PER-SYN-00351,2025-05-31,25.00,Pendiente
REQ-SYN-000151,VEH-SYN-00162,PER-SYN-00370,2025-06-01,26.00,Rendida
REQ-SYN-000152,VEH-SYN-00173,PER-SYN-00389,2025-06-02,27.00,Anulada
REQ-SYN-000153,VEH-SYN-00184,PER-SYN-00408,2025-06-03,28.00,Pendiente
REQ-SYN-000154,VEH-SYN-00195,PER-SYN-00427,2025-06-04,29.00,Rendida
REQ-SYN-000155,VEH-SYN-00206,PER-SYN-00446,2025-06-05,30.00,Anulada
REQ-SYN-000156,VEH-SYN-00217,PER-SYN-00465,2025-06-06,31.00,Pendiente
REQ-SYN-000157,VEH-SYN-00228,PER-SYN-00484,2025-06-07,32.00,Rendida
REQ-SYN-000158,VEH-SYN-00239,PER-SYN-00003,2025-06-08,33.00,Anulada
REQ-SYN-000159,VEH-SYN-00250,PER-SYN-00022,2025-06-09,34.00,Pendiente
REQ-SYN-000160,VEH-SYN-00011,PER-SYN-00041,2025-06-10,35.00,Rendida
REQ-SYN-000161,VEH-SYN-00022,PER-SYN-00060,2025-06-11,36.00,Anulada
REQ-SYN-000162,VEH-SYN-00033,PER-SYN-00079,2025-06-12,37.00,Pendiente
REQ-SYN-000163,VEH-SYN-00044,PER-SYN-00098,2025-06-13,38.00,Rendida
REQ-SYN-000164,VEH-SYN-00055,PER-SYN-00117,2025-06-14,39.00,Anulada
REQ-SYN-000165,VEH-SYN-00066,PER-SYN-00136,2025-06-15,40.00,Pendiente
REQ-SYN-000166,VEH-SYN-00077,PER-SYN-00155,2025-06-16,41.00,Rendida
REQ-SYN-000167,VEH-SYN-00088,PER-SYN-00174,2025-06-17,42.00,Anulada
REQ-SYN-000168,VEH-SYN-00099,PER-SYN-00193,2025-06-18,43.00,Pendiente
REQ-SYN-000169,VEH-SYN-00110,PER-SYN-00212,2025-06-19,44.00,Rendida
REQ-SYN-000170,VEH-SYN-00121,PER-SYN-00231,2025-06-20,45.00,Anulada
REQ-SYN-000171,VEH-SYN-00132,PER-SYN-00250,2025-06-21,46.00,Pendiente
REQ-SYN-000172,VEH-SYN-00143,PER-SYN-00269,2025-06-22,47.00,Rendida
REQ-SYN-000173,VEH-SYN-00154,PER-SYN-00288,2025-06-23,48.00,Anulada
REQ-SYN-000174,VEH-SYN-00165,PER-SYN-00307,2025-06-24,49.00,Pendiente
REQ-SYN-000175,VEH-SYN-00176,PER-SYN-00326,2025-06-25,15.00,Rendida
REQ-SYN-000176,VEH-SYN-00187,PER-SYN-00345,2025-06-26,16.00,Anulada
REQ-SYN-000177,VEH-SYN-00198,PER-SYN-00364,2025-06-27,17.00,Pendiente
REQ-SYN-000178,VEH-SYN-00209,PER-SYN-00383,2025-06-28,18.00,Rendida
REQ-SYN-000179,VEH-SYN-00220,PER-SYN-00402,2025-06-29,19.00,Anulada
REQ-SYN-000180,VEH-SYN-00231,PER-SYN-00421,2025-06-30,20.00,Pendiente
REQ-SYN-000181,VEH-SYN-00242,PER-SYN-00440,2025-07-01,21.00,Rendida
REQ-SYN-000182,VEH-SYN-00003,PER-SYN-00459,2025-07-02,22.00,Anulada
REQ-SYN-000183,VEH-SYN-00014,PER-SYN-00478,2025-07-03,23.00,Pendiente
REQ-SYN-000184,VEH-SYN-00025,PER-SYN-00497,2025-07-04,24.00,Rendida
REQ-SYN-000185,VEH-SYN-00036,PER-SYN-00016,2025-07-05,25.00,Anulada
REQ-SYN-000186,VEH-SYN-00047,PER-SYN-00035,2025-07-06,26.00,Pendiente
REQ-SYN-000187,VEH-SYN-00058,PER-SYN-00054,2025-07-07,27.00,Rendida
REQ-SYN-000188,VEH-SYN-00069,PER-SYN-00073,2025-07-08,28.00,Anulada
REQ-SYN-000189,VEH-SYN-00080,PER-SYN-00092,2025-07-09,29.00,Pendiente
REQ-SYN-000190,VEH-SYN-00091,PER-SYN-00111,2025-07-10,30.00,Rendida
REQ-SYN-000191,VEH-SYN-00102,PER-SYN-00130,2025-07-11,31.00,Anulada
REQ-SYN-000192,VEH-SYN-00113,PER-SYN-00149,2025-07-12,32.00,Pendiente
REQ-SYN-000193,VEH-SYN-00124,PER-SYN-00168,2025-07-13,33.00,Rendida
REQ-SYN-000194,VEH-SYN-00135,PER-SYN-00187,2025-07-14,34.00,Anulada
REQ-SYN-000195,VEH-SYN-00146,PER-SYN-00206,2025-07-15,35.00,Pendiente
REQ-SYN-000196,VEH-SYN-00157,PER-SYN-00225,2025-07-16,36.00,Rendida
REQ-SYN-000197,VEH-SYN-00168,PER-SYN-00244,2025-07-17,37.00,Anulada
REQ-SYN-000198,VEH-SYN-00179,PER-SYN-00263,2025-07-18,38.00,Pendiente
REQ-SYN-000199,VEH-SYN-00190,PER-SYN-00282,2025-07-19,39.00,Rendida
REQ-SYN-000200,VEH-SYN-00201,PER-SYN-00301,2025-07-20,40.00,Anulada
REQ-SYN-000201,VEH-SYN-00212,PER-SYN-00320,2025-07-21,41.00,Pendiente
REQ-SYN-000202,VEH-SYN-00223,PER-SYN-00339,2025-07-22,42.00,Rendida
REQ-SYN-000203,VEH-SYN-00234,PER-SYN-00358,2025-07-23,43.00,Anulada
REQ-SYN-000204,VEH-SYN-00245,PER-SYN-00377,2025-07-24,44.00,Pendiente
REQ-SYN-000205,VEH-SYN-00006,PER-SYN-00396,2025-07-25,45.00,Rendida
REQ-SYN-000206,VEH-SYN-00017,PER-SYN-00415,2025-07-26,46.00,Anulada
REQ-SYN-000207,VEH-SYN-00028,PER-SYN-00434,2025-07-27,47.00,Pendiente
REQ-SYN-000208,VEH-SYN-00039,PER-SYN-00453,2025-07-28,48.00,Rendida
REQ-SYN-000209,VEH-SYN-00050,PER-SYN-00472,2025-07-29,49.00,Anulada
REQ-SYN-000210,VEH-SYN-00061,PER-SYN-00491,2025-07-30,15.00,Pendiente
REQ-SYN-000211,VEH-SYN-00072,PER-SYN-00010,2025-07-31,16.00,Rendida
REQ-SYN-000212,VEH-SYN-00083,PER-SYN-00029,2025-08-01,17.00,Anulada
REQ-SYN-000213,VEH-SYN-00094,PER-SYN-00048,2025-08-02,18.00,Pendiente
REQ-SYN-000214,VEH-SYN-00105,PER-SYN-00067,2025-08-03,19.00,Rendida
REQ-SYN-000215,VEH-SYN-00116,PER-SYN-00086,2025-08-04,20.00,Anulada
REQ-SYN-000216,VEH-SYN-00127,PER-SYN-00105,2025-08-05,21.00,Pendiente
REQ-SYN-000217,VEH-SYN-00138,PER-SYN-00124,2025-08-06,22.00,Rendida
REQ-SYN-000218,VEH-SYN-00149,PER-SYN-00143,2025-08-07,23.00,Anulada
REQ-SYN-000219,VEH-SYN-00160,PER-SYN-00162,2025-08-08,24.00,Pendiente
REQ-SYN-000220,VEH-SYN-00171,PER-SYN-00181,2025-08-09,25.00,Rendida
REQ-SYN-000221,VEH-SYN-00182,PER-SYN-00200,2025-08-10,26.00,Anulada
REQ-SYN-000222,VEH-SYN-00193,PER-SYN-00219,2025-08-11,27.00,Pendiente
REQ-SYN-000223,VEH-SYN-00204,PER-SYN-00238,2025-08-12,28.00,Rendida
REQ-SYN-000224,VEH-SYN-00215,PER-SYN-00257,2025-08-13,29.00,Anulada
REQ-SYN-000225,VEH-SYN-00226,PER-SYN-00276,2025-08-14,30.00,Pendiente
REQ-SYN-000226,VEH-SYN-00237,PER-SYN-00295,2025-08-15,31.00,Rendida
REQ-SYN-000227,VEH-SYN-00248,PER-SYN-00314,2025-08-16,32.00,Anulada
REQ-SYN-000228,VEH-SYN-00009,PER-SYN-00333,2025-08-17,33.00,Pendiente
REQ-SYN-000229,VEH-SYN-00020,PER-SYN-00352,2025-08-18,34.00,Rendida
REQ-SYN-000230,VEH-SYN-00031,PER-SYN-00371,2025-08-19,35.00,Anulada
REQ-SYN-000231,VEH-SYN-00042,PER-SYN-00390,2025-08-20,36.00,Pendiente
REQ-SYN-000232,VEH-SYN-00053,PER-SYN-00409,2025-08-21,37.00,Rendida
REQ-SYN-000233,VEH-SYN-00064,PER-SYN-00428,2025-08-22,38.00,Anulada
REQ-SYN-000234,VEH-SYN-00075,PER-SYN-00447,2025-08-23,39.00,Pendiente
REQ-SYN-000235,VEH-SYN-00086,PER-SYN-00466,2025-08-24,40.00,Rendida
REQ-SYN-000236,VEH-SYN-00097,PER-SYN-00485,2025-08-25,41.00,Anulada
REQ-SYN-000237,VEH-SYN-00108,PER-SYN-00004,2025-08-26,42.00,Pendiente
REQ-SYN-000238,VEH-SYN-00119,PER-SYN-00023,2025-08-27,43.00,Rendida
REQ-SYN-000239,VEH-SYN-00130,PER-SYN-00042,2025-08-28,44.00,Anulada
REQ-SYN-000240,VEH-SYN-00141,PER-SYN-00061,2025-08-29,45.00,Pendiente
REQ-SYN-000241,VEH-SYN-00152,PER-SYN-00080,2025-08-30,46.00,Rendida
REQ-SYN-000242,VEH-SYN-00163,PER-SYN-00099,2025-08-31,47.00,Anulada
REQ-SYN-000243,VEH-SYN-00174,PER-SYN-00118,2025-09-01,48.00,Pendiente
REQ-SYN-000244,VEH-SYN-00185,PER-SYN-00137,2025-09-02,49.00,Rendida
REQ-SYN-000245,VEH-SYN-00196,PER-SYN-00156,2025-09-03,15.00,Anulada
REQ-SYN-000246,VEH-SYN-00207,PER-SYN-00175,2025-09-04,16.00,Pendiente
REQ-SYN-000247,VEH-SYN-00218,PER-SYN-00194,2025-09-05,17.00,Rendida
REQ-SYN-000248,VEH-SYN-00229,PER-SYN-00213,2025-09-06,18.00,Anulada
REQ-SYN-000249,VEH-SYN-00240,PER-SYN-00232,2025-09-07,19.00,Pendiente
REQ-SYN-000250,VEH-SYN-00001,PER-SYN-00251,2025-09-08,20.00,Rendida
