id,periodo_id,contrato_id,importe_facturado,importe_conciliado
INV-SYN-000034,PERIOD-SYN-003,CTR-SYN-0010,399000.00,391020.00
INV-SYN-000035,PERIOD-SYN-003,CTR-SYN-0011,401500.00,393470.00
INV-SYN-000036,PERIOD-SYN-003,CTR-SYN-0012,404000.00,395920.00
INV-SYN-000037,PERIOD-SYN-004,CTR-SYN-0001,388500.00,380730.00
INV-SYN-000038,PERIOD-SYN-004,CTR-SYN-0002,391000.00,383180.00
INV-SYN-000039,PERIOD-SYN-004,CTR-SYN-0003,393500.00,385630.00
INV-SYN-000040,PERIOD-SYN-004,CTR-SYN-0004,396000.00,388080.00
INV-SYN-000041,PERIOD-SYN-004,CTR-SYN-0005,398500.00,390530.00
INV-SYN-000042,PERIOD-SYN-004,CTR-SYN-0006,401000.00,392980.00
INV-SYN-000043,PERIOD-SYN-004,CTR-SYN-0007,403500.00,395430.00
INV-SYN-000044,PERIOD-SYN-004,CTR-SYN-0008,406000.00,397880.00
INV-SYN-000045,PERIOD-SYN-004,CTR-SYN-0009,408500.00,400330.00
INV-SYN-000046,PERIOD-SYN-004,CTR-SYN-0010,411000.00,402780.00
INV-SYN-000047,PERIOD-SYN-004,CTR-SYN-0011,413500.00,405230.00
INV-SYN-000048,PERIOD-SYN-004,CTR-SYN-0012,416000.00,407680.00
INV-SYN-000049,PERIOD-SYN-005,CTR-SYN-0001,400500.00,392490.00
INV-SYN-000050,PERIOD-SYN-005,CTR-SYN-0002,403000.00,394940.00
INV-SYN-000051,PERIOD-SYN-005,CTR-SYN-0003,405500.00,397390.00
INV-SYN-000052,PERIOD-SYN-005,CTR-SYN-0004,408000.00,399840.00
INV-SYN-000053,PERIOD-SYN-005,CTR-SYN-0005,410500.00,402290.00
INV-SYN-000054,PERIOD-SYN-005,CTR-SYN-0006,413000.00,404740.00
INV-SYN-000055,PERIOD-SYN-005,CTR-SYN-0007,415500.00,407190.00
INV-SYN-000056,PERIOD-SYN-005,CTR-SYN-0008,418000.00,409640.00
INV-SYN-000057,PERIOD-SYN-005,CTR-SYN-0009,420500.00,412090.00
INV-SYN-000058,PERIOD-SYN-005,CTR-SYN-0010,423000.00,414540.00
INV-SYN-000059,PERIOD-SYN-005,CTR-SYN-0011,425500.00,416990.00
INV-SYN-000060,PERIOD-SYN-005,CTR-SYN-0012,428000.00,419440.00
INV-SYN-000061,PERIOD-SYN-006,CTR-SYN-0001,412500.00,404250.00
INV-SYN-000062,PERIOD-SYN-006,CTR-SYN-0002,415000.00,406700.00
INV-SYN-000063,PERIOD-SYN-006,CTR-SYN-0003,417500.00,409150.00
INV-SYN-000064,PERIOD-SYN-006,CTR-SYN-0004,420000.00,411600.00
INV-SYN-000065,PERIOD-SYN-006,CTR-SYN-0005,422500.00,414050.00
INV-SYN-000066,PERIOD-SYN-006,CTR-SYN-0006,425000.00,416500.00
INV-SYN-000067,PERIOD-SYN-006,CTR-SYN-0007,427500.00,418950.00
INV-SYN-000068,PERIOD-SYN-006,CTR-SYN-0008,430000.00,421400.00
INV-SYN-000069,PERIOD-SYN-006,CTR-SYN-0009,432500.00,423850.00
INV-SYN-000070,PERIOD-SYN-006,CTR-SYN-0010,435000.00,426300.00
INV-SYN-000071,PERIOD-SYN-006,CTR-SYN-0011,437500.00,428750.00
INV-SYN-000072,PERIOD-SYN-006,CTR-SYN-0012,440000.00,431200.00
INV-SYN-000073,PERIOD-SYN-007,CTR-SYN-0001,424500.00,416010.00
INV-SYN-000074,PERIOD-SYN-007,CTR-SYN-0002,427000.00,418460.00
INV-SYN-000075,PERIOD-SYN-007,CTR-SYN-0003,429500.00,420910.00
INV-SYN-000076,PERIOD-SYN-007,CTR-SYN-0004,432000.00,423360.00
INV-SYN-000077,PERIOD-SYN-007,CTR-SYN-0005,434500.00,425810.00
INV-SYN-000078,PERIOD-SYN-007,CTR-SYN-0006,437000.00,428260.00
INV-SYN-000079,PERIOD-SYN-007,CTR-SYN-0007,439500.00,430710.00
INV-SYN-000080,PERIOD-SYN-007,CTR-SYN-0008,442000.00,433160.00
INV-SYN-000081,PERIOD-SYN-007,CTR-SYN-0009,444500.00,435610.00
INV-SYN-000082,PERIOD-SYN-007,CTR-SYN-0010,447000.00,438060.00
INV-SYN-000083,PERIOD-SYN-007,CTR-SYN-0011,449500.00,440510.00
INV-SYN-000084,PERIOD-SYN-007,CTR-SYN-0012,452000.00,442960.00
INV-SYN-000085,PERIOD-SYN-008,CTR-SYN-0001,436500.00,427770.00
INV-SYN-000086,PERIOD-SYN-008,CTR-SYN-0002,439000.00,430220.00
INV-SYN-000087,PERIOD-SYN-008,CTR-SYN-0003,441500.00,432670.00
INV-SYN-000088,PERIOD-SYN-008,CTR-SYN-0004,444000.00,435120.00
INV-SYN-000089,PERIOD-SYN-008,CTR-SYN-0005,446500.00,437570.00
INV-SYN-000090,PERIOD-SYN-008,CTR-SYN-0006,449000.00,440020.00
INV-SYN-000091,PERIOD-SYN-008,CTR-SYN-0007,451500.00,442470.00
INV-SYN-000092,PERIOD-SYN-008,CTR-SYN-0008,454000.00,444920.00
INV-SYN-000093,PERIOD-SYN-008,CTR-SYN-0009,456500.00,447370.00
INV-SYN-000094,PERIOD-SYN-008,CTR-SYN-0010,459000.00,449820.00
INV-SYN-000095,PERIOD-SYN-008,CTR-SYN-0011,461500.00,452270.00
INV-SYN-000096,PERIOD-SYN-008,CTR-SYN-0012,464000.00,454720.00
INV-SYN-000097,PERIOD-SYN-009,CTR-SYN-0001,448500.00,439530.00
INV-SYN-000098,PERIOD-SYN-009,CTR-SYN-0002,451000.00,441980.00
INV-SYN-000099,PERIOD-SYN-009,CTR-SYN-0003,453500.00,444430.00
INV-SYN-000100,PERIOD-SYN-009,CTR-SYN-0004,456000.00,446880.00
INV-SYN-000101,PERIOD-SYN-009,CTR-SYN-0005,458500.00,449330.00
INV-SYN-000102,PERIOD-SYN-009,CTR-SYN-0006,461000.00,451780.00
INV-SYN-000103,PERIOD-SYN-009,CTR-SYN-0007,463500.00,454230.00
INV-SYN-000104,PERIOD-SYN-009,CTR-SYN-0008,466000.00,456680.00
INV-SYN-000105,PERIOD-SYN-009,CTR-SYN-0009,468500.00,459130.00
INV-SYN-000106,PERIOD-SYN-009,CTR-SYN-0010,471000.00,461580.00
INV-SYN-000107,PERIOD-SYN-009,CTR-SYN-0011,473500.00,464030.00
INV-SYN-000108,PERIOD-SYN-009,CTR-SYN-0012,476000.00,466480.00
INV-SYN-000109,PERIOD-SYN-010,CTR-SYN-0001,460500.00,451290.00
INV-SYN-000110,PERIOD-SYN-010,CTR-SYN-0002,463000.00,453740.00
INV-SYN-000111,PERIOD-SYN-010,CTR-SYN-0003,465500.00,456190.00
INV-SYN-000112,PERIOD-SYN-010,CTR-SYN-0004,468000.00,458640.00
INV-SYN-000113,PERIOD-SYN-010,CTR-SYN-0005,470500.00,461090.00
INV-SYN-000114,PERIOD-SYN-010,CTR-SYN-0006,473000.00,463540.00
INV-SYN-000115,PERIOD-SYN-010,CTR-SYN-0007,475500.00,465990.00
INV-SYN-000116,PERIOD-SYN-010,CTR-SYN-0008,478000.00,468440.00
INV-SYN-000117,PERIOD-SYN-010,CTR-SYN-0009,480500.00,470890.00
INV-SYN-000118,PERIOD-SYN-010,CTR-SYN-0010,483000.00,473340.00
INV-SYN-000119,PERIOD-SYN-010,CTR-SYN-0011,485500.00,475790.00
INV-SYN-000120,PERIOD-SYN-010,CTR-SYN-0012,488000.00,478240.00
INV-SYN-000121,PERIOD-SYN-011,CTR-SYN-0001,472500.00,463050.00
INV-SYN-000122,PERIOD-SYN-011,CTR-SYN-0002,475000.00,465500.00
INV-SYN-000123,PERIOD-SYN-011,CTR-SYN-0003,477500.00,467950.00
INV-SYN-000124,PERIOD-SYN-011,CTR-SYN-0004,480000.00,470400.00
INV-SYN-000125,PERIOD-SYN-011,CTR-SYN-0005,482500.00,472850.00
INV-SYN-000126,PERIOD-SYN-011,CTR-SYN-0006,485000.00,475300.00
INV-SYN-000127,PERIOD-SYN-011,CTR-SYN-0007,487500.00,477750.00
INV-SYN-000128,PERIOD-SYN-011,CTR-SYN-0008,490000.00,480200.00
INV-SYN-000129,PERIOD-SYN-011,CTR-SYN-0009,492500.00,482650.00
INV-SYN-000130,PERIOD-SYN-011,CTR-SYN-0010,495000.00,485100.00
INV-SYN-000131,PERIOD-SYN-011,CTR-SYN-0011,497500.00,487550.00
INV-SYN-000132,PERIOD-SYN-011,CTR-SYN-0012,500000.00,490000.00
INV-SYN-000133,PERIOD-SYN-012,CTR-SYN-0001,484500.00,474810.00
INV-SYN-000134,PERIOD-SYN-012,CTR-SYN-0002,487000.00,477260.00
INV-SYN-000135,PERIOD-SYN-012,CTR-SYN-0003,489500.00,479710.00
INV-SYN-000136,PERIOD-SYN-012,CTR-SYN-0004,492000.00,482160.00
INV-SYN-000137,PERIOD-SYN-012,CTR-SYN-0005,494500.00,484610.00
INV-SYN-000138,PERIOD-SYN-012,CTR-SYN-0006,497000.00,487060.00
INV-SYN-000139,PERIOD-SYN-012,CTR-SYN-0007,499500.00,489510.00
INV-SYN-000140,PERIOD-SYN-012,CTR-SYN-0008,502000.00,491960.00
INV-SYN-000141,PERIOD-SYN-012,CTR-SYN-0009,504500.00,494410.00
INV-SYN-000142,PERIOD-SYN-012,CTR-SYN-0010,507000.00,496860.00
INV-SYN-000143,PERIOD-SYN-012,CTR-SYN-0011,509500.00,499310.00
INV-SYN-000144,PERIOD-SYN-012,CTR-SYN-0012,512000.00,501760.00
