id,codigo_sintetico,vehiculo_id,estado_transmision,fecha_alta
DEV-SYN-00085,DEV-SYN-00085,VEH-SYN-00085,Activo,2024-10-08
DEV-SYN-00086,DEV-SYN-00086,VEH-SYN-00086,Activo,2024-10-07
DEV-SYN-00087,DEV-SYN-00087,VEH-SYN-00087,Activo,2024-10-06
DEV-SYN-00088,DEV-SYN-00088,VEH-SYN-00088,Activo,2024-10-05
DEV-SYN-00089,DEV-SYN-00089,VEH-SYN-00089,Activo,2024-10-04
DEV-SYN-00090,DEV-SYN-00090,VEH-SYN-00090,Activo,2024-10-03
DEV-SYN-00091,DEV-SYN-00091,VEH-SYN-00091,Activo,2024-10-02
DEV-SYN-00092,DEV-SYN-00092,VEH-SYN-00092,Activo,2024-10-01
DEV-SYN-00093,DEV-SYN-00093,VEH-SYN-00093,Activo,2024-09-30
DEV-SYN-00094,DEV-SYN-00094,VEH-SYN-00094,Intermitente,2024-09-29
DEV-SYN-00095,DEV-SYN-00095,VEH-SYN-00095,Activo,2024-09-28
DEV-SYN-00096,DEV-SYN-00096,VEH-SYN-00096,Activo,2024-09-27
DEV-SYN-00097,DEV-SYN-00097,VEH-SYN-00097,Activo,2024-09-26
DEV-SYN-00098,DEV-SYN-00098,VEH-SYN-00098,Activo,2024-09-25
DEV-SYN-00099,DEV-SYN-00099,VEH-SYN-00099,Activo,2024-09-24
DEV-SYN-00100,DEV-SYN-00100,VEH-SYN-00100,Activo,2024-09-23
DEV-SYN-00101,DEV-SYN-00101,VEH-SYN-00101,Activo,2024-09-22
DEV-SYN-00102,DEV-SYN-00102,VEH-SYN-00102,Activo,2024-09-21
DEV-SYN-00103,DEV-SYN-00103,VEH-SYN-00103,Activo,2024-09-20
DEV-SYN-00104,DEV-SYN-00104,VEH-SYN-00104,Activo,2024-09-19
DEV-SYN-00105,DEV-SYN-00105,VEH-SYN-00105,Activo,2024-09-18
DEV-SYN-00106,DEV-SYN-00106,VEH-SYN-00106,Activo,2024-09-17
DEV-SYN-00107,DEV-SYN-00107,VEH-SYN-00107,Intermitente,2024-09-16
DEV-SYN-00108,DEV-SYN-00108,VEH-SYN-00108,Activo,2024-09-15
DEV-SYN-00109,DEV-SYN-00109,VEH-SYN-00109,Activo,2024-09-14
DEV-SYN-00110,DEV-SYN-00110,VEH-SYN-00110,Activo,2024-09-13
DEV-SYN-00111,DEV-SYN-00111,VEH-SYN-00111,Activo,2024-09-12
DEV-SYN-00112,DEV-SYN-00112,VEH-SYN-00112,Inactivo,2024-09-11
DEV-SYN-00113,DEV-SYN-00113,VEH-SYN-00113,Activo,2024-09-10
DEV-SYN-00114,DEV-SYN-00114,VEH-SYN-00114,Intermitente,2024-09-09
DEV-SYN-00115,DEV-SYN-00115,VEH-SYN-00115,Activo,2024-09-08
DEV-SYN-00116,DEV-SYN-00116,VEH-SYN-00116,Activo,2024-09-07
DEV-SYN-00117,DEV-SYN-00117,VEH-SYN-00117,Activo,2024-09-06
DEV-SYN-00118,DEV-SYN-00118,VEH-SYN-00118,Activo,2024-09-05
DEV-SYN-00119,DEV-SYN-00119,VEH-SYN-00119,Activo,2024-09-04
DEV-SYN-00120,DEV-SYN-00120,VEH-SYN-00120,Activo,2024-09-03
DEV-SYN-00121,DEV-SYN-00121,VEH-SYN-00121,Activo,2024-09-02
DEV-SYN-00122,DEV-SYN-00122,VEH-SYN-00122,Inactivo,2024-09-01
DEV-SYN-00123,DEV-SYN-00123,VEH-SYN-00123,Activo,2024-08-31
DEV-SYN-00124,DEV-SYN-00124,VEH-SYN-00124,Activo,2024-08-30
DEV-SYN-00125,DEV-SYN-00125,VEH-SYN-00125,Activo,2024-08-29
DEV-SYN-00126,DEV-SYN-00126,VEH-SYN-00126,Activo,2024-08-28
DEV-SYN-00127,DEV-SYN-00127,VEH-SYN-00127,Intermitente,2024-08-27
DEV-SYN-00128,DEV-SYN-00128,VEH-SYN-00128,Intermitente,2024-08-26
DEV-SYN-00129,DEV-SYN-00129,VEH-SYN-00129,Activo,2024-08-25
DEV-SYN-00130,DEV-SYN-00130,VEH-SYN-00130,Activo,2024-08-24
DEV-SYN-00131,DEV-SYN-00131,VEH-SYN-00131,Activo,2024-08-23
DEV-SYN-00132,DEV-SYN-00132,VEH-SYN-00132,Activo,2024-08-22
DEV-SYN-00133,DEV-SYN-00133,VEH-SYN-00133,Activo,2024-08-21
DEV-SYN-00134,DEV-SYN-00134,VEH-SYN-00134,Activo,2024-08-20
DEV-SYN-00135,DEV-SYN-00135,VEH-SYN-00135,Activo,2024-08-19
DEV-SYN-00136,DEV-SYN-00136,VEH-SYN-00136,Activo,2024-08-18
DEV-SYN-00137,DEV-SYN-00137,VEH-SYN-00137,Activo,2024-08-17
DEV-SYN-00138,DEV-SYN-00138,VEH-SYN-00138,Activo,2024-08-16
DEV-SYN-00139,DEV-SYN-00139,VEH-SYN-00139,Intermitente,2024-08-15
DEV-SYN-00140,DEV-SYN-00140,VEH-SYN-00140,Activo,2024-08-14
DEV-SYN-00141,DEV-SYN-00141,VEH-SYN-00141,Activo,2024-08-13
DEV-SYN-00142,DEV-SYN-00142,VEH-SYN-00142,Intermitente,2024-08-12
DEV-SYN-00143,DEV-SYN-00143,VEH-SYN-00143,Activo,2024-08-11
DEV-SYN-00144,DEV-SYN-00144,VEH-SYN-00144,Activo,2024-08-10
DEV-SYN-00145,DEV-SYN-00145,VEH-SYN-00145,Intermitente,2024-08-09
DEV-SYN-00146,DEV-SYN-00146,VEH-SYN-00146,Activo,2024-08-08
DEV-SYN-00147,DEV-SYN-00147,VEH-SYN-00147,Activo,2024-08-07
DEV-SYN-00148,DEV-SYN-00148,VEH-SYN-00148,Activo,2024-08-06
DEV-SYN-00149,DEV-SYN-00149,VEH-SYN-00149,Inactivo,2024-08-05
DEV-SYN-00150,DEV-SYN-00150,VEH-SYN-00150,Activo,2024-08-04
DEV-SYN-00151,DEV-SYN-00151,VEH-SYN-00151,Activo,2024-08-03
DEV-SYN-00152,DEV-SYN-00152,VEH-SYN-00152,Activo,2024-08-02
DEV-SYN-00153,DEV-SYN-00153,VEH-SYN-00153,Activo,2024-08-01
DEV-SYN-00154,DEV-SYN-00154,VEH-SYN-00154,Activo,2024-07-31
DEV-SYN-00155,DEV-SYN-00155,VEH-SYN-00155,Activo,2024-07-30
DEV-SYN-00156,DEV-SYN-00156,VEH-SYN-00156,Activo,2024-07-29
DEV-SYN-00157,DEV-SYN-00157,VEH-SYN-00157,Activo,2024-07-28
DEV-SYN-00158,DEV-SYN-00158,VEH-SYN-00158,Activo,2024-07-27
DEV-SYN-00159,DEV-SYN-00159,VEH-SYN-00159,Activo,2024-07-26
DEV-SYN-00160,DEV-SYN-00160,VEH-SYN-00160,Activo,2024-07-25
DEV-SYN-00161,DEV-SYN-00161,VEH-SYN-00161,Intermitente,2024-07-24
DEV-SYN-00162,DEV-SYN-00162,VEH-SYN-00162,Activo,2024-07-23
DEV-SYN-00163,DEV-SYN-00163,VEH-SYN-00163,Activo,2024-07-22
DEV-SYN-00164,DEV-SYN-00164,VEH-SYN-00164,Activo,2024-07-21
DEV-SYN-00165,DEV-SYN-00165,VEH-SYN-00165,Activo,2024-07-20
DEV-SYN-00166,DEV-SYN-00166,VEH-SYN-00166,Intermitente,2024-07-19
DEV-SYN-00167,DEV-SYN-00167,VEH-SYN-00167,Activo,2024-07-18
DEV-SYN-00168,DEV-SYN-00168,VEH-SYN-00168,Activo,2024-07-17
DEV-SYN-00169,DEV-SYN-00169,VEH-SYN-00169,Activo,2024-07-16
DEV-SYN-00170,DEV-SYN-00170,VEH-SYN-00170,Activo,2024-07-15
DEV-SYN-00171,DEV-SYN-00171,VEH-SYN-00171,Activo,2024-07-14
DEV-SYN-00172,DEV-SYN-00172,VEH-SYN-00172,Intermitente,2024-07-13
DEV-SYN-00173,DEV-SYN-00173,VEH-SYN-00173,Activo,2024-07-12
DEV-SYN-00174,DEV-SYN-00174,VEH-SYN-00174,Intermitente,2024-07-11
DEV-SYN-00175,DEV-SYN-00175,VEH-SYN-00175,Activo,2024-07-10
DEV-SYN-00176,DEV-SYN-00176,VEH-SYN-00176,Activo,2024-07-09
DEV-SYN-00177,DEV-SYN-00177,VEH-SYN-00177,Activo,2024-07-08
DEV-SYN-00178,DEV-SYN-00178,VEH-SYN-00178,Activo,2024-07-07
DEV-SYN-00179,DEV-SYN-00179,VEH-SYN-00179,Activo,2024-07-06
DEV-SYN-00180,DEV-SYN-00180,VEH-SYN-00180,Activo,2024-07-05
